Date,Day,Holiday Name,Holiday Category,State Involved
,,,,
2025-01-01,Wednesday,New Year's Day,National Holiday,"All except Johor, Kedah, Kelantan, Terengganu"
2025-01-14,Tuesday,Birthday of Yang di-Pertuan Besar,Regional Holiday,Negeri Sembilan
2025-01-27,Monday,Isra and Mi'raj,Regional Holiday,"Kedah, Negeri Sembilan, Perlis, Terengganu"
2025-01-29,Wednesday,Chinese New Year's Day,National Holiday,All
2025-01-30,Thursday,Second Day of Chinese New Year,National Holiday,"All except Kelantan, Terengganu"
,,,,
2025-02-01,Saturday,Federal Territory Day,Regional Holiday,"Kuala Lumpur, Labuan, Putrajaya"
2025-02-11,Tuesday,Thaipusam,Regional Holiday,"Johor, Kedah, Kuala Lumpur, Negeri Sembilan, Putrajaya, Penang, Perak, Selangor"
2025-02-14,Friday,Valentine's Day,Observance,All
2025-02-20,Thursday,Independence Day Declaration Day,Regional Holiday,Malacca
,,,,
2025-03-02,Sunday,First Day of Ramadan,Regional Holiday,"Johor, Kedah, Malacca"
2025-03-04,Tuesday,Anniversary of the Coronation of the Sultan of Terengganu,Regional Holiday,Terengganu
2025-03-18,Tuesday,Nuzul Al-Quran,Regional Holiday,"Kelantan, Kuala Lumpur, Labuan, Pahang, Putrajaya, Perlis, Penang, Perak, Selangor, Terengganu"
2025-03-23,Sunday,Birthday of the Sultan of Johor,Regional Holiday,Johor
2025-03-30,Sunday,Hari Raya Puasa Holiday,Regional Holiday,"Kedah, Kelantan, Terengganu"
2025-03-30,Sunday,Birthday of the Governor of Sabah,Regional Holiday,Sabah
2025-03-31,Monday,Hari Raya Puasa,National Holiday,All
2025-03-31,Monday,Day off for Birthday of the Governor of Sabah,Regional Holiday,Sabah
,,,,
2025-04-01,Tuesday,Hari Raya Puasa Day 2,National Holiday,All
2025-04-02,Wednesday,Hari Raya Puasa Holiday,Regional Holiday,Malacca
2025-04-18,Friday,Good Friday,Regional Holiday,"Sabah, Sarawak"
2025-04-26,Saturday,Birthday of the Sultan of Terengganu,Regional Holiday,Terengganu
2025-04-28,Monday,Malaysia Cup Public Holiday,Regional Holiday,Johor
,,,,
2025-05-01,Thursday,Labour Day,National Holiday,All
2025-05-12,Monday,Wesak Day,National Holiday,All
2025-05-17,Saturday,Birthday of the Raja of Perlis,Regional Holiday,Perlis
2025-05-22,Thursday,Pahang Regional Holiday,Regional Holiday,Pahang
2025-05-30,Friday,Harvest Festival,Regional Holiday,"Labuan, Sabah"
2025-05-31,Saturday,Second Day of Harvest Festival,Regional Holiday,"Labuan, Sabah"
,,,,
2025-06-01,Sunday,Gawai Dayak,Regional Holiday,Sarawak
2025-06-02,Monday,The Yang di-Pertuan Agong's Birthday,National Holiday,All
2025-06-02,Monday,Gawai Dayak Holiday,Regional Holiday,Sarawak
2025-06-06,Friday,Day of Arafat (Tentative Date),Regional Holiday,"Kelantan, Terengganu"
2025-06-07,Saturday,Hari Raya Haji (Tentative Date),National Holiday,All
2025-06-08,Sunday,Hari Raya Haji (Day 2) (Tentative Date),Regional Holiday,"Kelantan, Terengganu, Kedah, Perlis"
2025-06-22,Sunday,Sultan of Kedah's Birthday,Regional Holiday,Kedah
2025-06-27,Friday,Muharram/New Year (Tentative Date),National Holiday,All
,,,,
2025-07-07,Monday,George Town World Heritage City Day,Regional Holiday,Penang
2025-07-12,Saturday,Penang Governor's Birthday,Regional Holiday,Penang
2025-07-22,Tuesday,Sarawak Independence Day,Regional Holiday,Sarawak
2025-07-30,Wednesday,Birthday of the Sultan of Pahang,Regional Holiday,Pahang
2025-07-31,Thursday,Almarhum Sultan Iskandar Hol Day,Regional Holiday,Johor
,,,,
2025-08-24,Sunday,Birthday of the Governor of Malacca,Regional Holiday,Malacca
2025-08-31,Sunday,Malaysia's National Day,National Holiday,All
,,,,
2025-09-05,Friday,The Prophet Muhammad's Birthday (Tentative Date),National Holiday,All
2025-09-16,Tuesday,Malaysia Day,National Holiday,All
2025-09-29,Monday,Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan
2025-09-30,Tuesday,Holiday for Birthday of the Sultan of Kelantan,Regional Holiday,Kelantan
,,,,
2025-10-11,Saturday,Birthday of the Governor of Sarawak,Regional Holiday,Sarawak
2025-10-20,Monday,Diwali/Deepavali,National Holiday,All except Sarawak
,,,,
2025-11-07,Friday,Birthday of the Sultan of Perak,Regional Holiday,Perak
,,,,
2025-12-11,Thursday,Birthday of the Sultan of Selangor,Regional Holiday,Selangor
2025-12-24,Wednesday,Christmas Eve,Observance,All
2025-12-24,Wednesday,Christmas Eve,Regional Holiday,Sabah
2025-12-25,Thursday,Christmas Day,National Holiday,All
2025-12-31,Wednesday,New Year's Eve,Observance,All
